Fecha,Nivel Medio
2024-10-13 14:22:00,0.66
2024-10-13 14:21:00,0.672
2024-10-13 14:20:00,0.684
2024-10-13 14:19:00,0.694
2024-10-13 14:18:00,0.698
2024-10-13 14:17:00,0.707
2024-10-13 14:16:00,0.712
2024-10-13 14:15:00,0.722
2024-10-13 14:14:00,0.73
2024-10-13 14:13:00,0.741
2024-10-13 14:12:00,0.749
2024-10-13 14:11:00,0.762
2024-10-13 14:10:00,0.772
2024-10-13 14:09:00,0.782
2024-10-13 14:08:00,0.79
2024-10-13 14:07:00,0.795
2024-10-13 14:06:00,0.806
2024-10-13 14:05:00,0.814
2024-10-13 14:04:00,0.822
2024-10-13 14:03:00,0.829
2024-10-13 14:02:00,0.837
2024-10-13 14:01:00,0.838
2024-10-13 14:00:00,0.848
2024-10-13 13:59:00,0.849
2024-10-13 13:58:00,0.855
2024-10-13 13:57:00,0.869
2024-10-13 13:56:00,0.87
2024-10-13 13:55:00,0.883
2024-10-13 13:54:00,0.894
2024-10-13 13:53:00,0.906
2024-10-13 13:52:00,0.917
2024-10-13 13:51:00,0.925
2024-10-13 13:50:00,0.933
2024-10-13 13:49:00,0.944
2024-10-13 13:48:00,0.953
2024-10-13 13:47:00,0.962
2024-10-13 13:46:00,0.97
2024-10-13 13:45:00,0.973
2024-10-13 13:44:00,0.978
2024-10-13 13:43:00,0.985
2024-10-13 13:42:00,0.993
2024-10-13 13:41:00,1.001
2024-10-13 13:40:00,1.003
2024-10-13 13:39:00,1.016
2024-10-13 13:38:00,1.017
2024-10-13 13:37:00,1.023
2024-10-13 13:36:00,1.03
2024-10-13 13:35:00,1.029
2024-10-13 13:34:00,1.038
2024-10-13 13:33:00,1.043
2024-10-13 13:32:00,1.047
2024-10-13 13:31:00,1.056
2024-10-13 13:30:00,1.065
2024-10-13 13:29:00,1.072
2024-10-13 13:28:00,1.08
2024-10-13 13:27:00,1.087
2024-10-13 13:26:00,1.099
2024-10-13 13:25:00,1.107
2024-10-13 13:24:00,1.109
2024-10-13 13:23:00,1.117
2024-10-13 13:22:00,1.118
2024-10-13 13:21:00,1.121
2024-10-13 13:20:00,1.123
2024-10-13 13:19:00,1.123
2024-10-13 13:18:00,1.122
2024-10-13 13:17:00,1.125
2024-10-13 13:16:00,1.13
2024-10-13 13:15:00,1.138
2024-10-13 13:14:00,1.141
2024-10-13 13:13:00,1.152
2024-10-13 13:12:00,1.164
2024-10-13 13:11:00,1.171
2024-10-13 13:10:00,1.178
2024-10-13 13:09:00,1.185
2024-10-13 13:08:00,1.194
2024-10-13 13:07:00,1.201
2024-10-13 13:06:00,1.208
2024-10-13 13:05:00,1.209
2024-10-13 13:04:00,1.213
2024-10-13 13:03:00,1.211
2024-10-13 13:02:00,1.219
2024-10-13 13:01:00,1.223
2024-10-13 13:00:00,1.227
2024-10-13 12:59:00,1.234
2024-10-13 12:58:00,1.24
2024-10-13 12:57:00,1.251
2024-10-13 12:56:00,1.255
2024-10-13 12:55:00,1.263
2024-10-13 12:54:00,1.271
2024-10-13 12:53:00,1.278
2024-10-13 12:52:00,1.279
2024-10-13 12:51:00,1.289
2024-10-13 12:50:00,1.286
2024-10-13 12:49:00,1.292
2024-10-13 12:48:00,1.296
2024-10-13 12:47:00,1.296
2024-10-13 12:46:00,1.296
2024-10-13 12:45:00,1.298
2024-10-13 12:44:00,1.295
2024-10-13 12:43:00,1.296
2024-10-13 12:42:00,1.297
2024-10-13 12:41:00,1.291
2024-10-13 12:40:00,1.29
2024-10-13 12:39:00,1.284
2024-10-13 12:38:00,1.287
2024-10-13 12:37:00,1.285
2024-10-13 12:36:00,1.284
2024-10-13 12:35:00,1.288
2024-10-13 12:34:00,1.292
